,Tournament Name,Tournament Date,Tournament Country,Discipline,Number of Sets Played,Retired,Match Duration (min),Team 1 Nationalities,Team 2 Nationalities,Team 1 Name(s),Team 1 Seed,Team 2 Name(s),Team 2 Seed,Points Set 1 Team 1,Points Set 1 Team 2,Points Set 2 Team 1,Points Set 2 Team 2,Points Set 3 Team 1,Points Set 3 Team 2,Total Points Team 1,Total Points Team 2,Sets Won Team 1,Sets Won Team 2,Total Game Points Team 1,Total Game Points Team 2,Most Consecutive Points Team 1,Most Consecutive Points Team 2,Team 1 Head to Head Analysis,Team 2 Head to Head Analysis,Match Winner
1761,Yonex_All_England_Open,2023-03-17,England,XD,6,0,76,Indonesia,Japan,"Rehan Naufal Kusharjanto, Lisa Ayu Kusumawati",,"Kyohei Yamashita, Naru Shinoya",,21,19,15.0,21.0,21.0,19.0,57,59,2,1,3,2,6,6,1,1,1
1762,Yonex_All_England_Open,2023-03-14,England,WS,4,0,36,Thailand,Japan,Pornpawee Chochuwong,,Nozomi Okuhara,,21,11,21.0,15.0,,,42,26,2,0,2,0,8,6,2,5,1
1763,Petronas_Malaysia_Open,2023-01-14,Malaysia,MD,4,0,42,Indonesia,Korea,"Fajar Alfian, Muhammad Rian Ardianto",3.0,"Kang Min Hyuk, Seo Seung Jae",,21,18,21.0,17.0,,,42,35,2,0,5,0,4,2,3,6,1
1764,Petronas_Malaysia_Open,2023-01-11,Malaysia,XD,4,0,26,Japan,England,"Yuta Watanabe, Arisa Higashino",3.0,"Gregory Mairs, Jenny Mairs",,21,9,21.0,16.0,,,42,25,2,0,5,0,6,5,1,0,1
1765,Yonex_All_England_Open,2023-03-16,England,WD,4,0,32,Japan,England,"Mayu Matsumoto, Wakana Nagahara",,"Chloe Birch, Lauren Smith",,21,9,21.0,10.0,,,42,19,2,0,2,0,7,3,4,0,1
1766,Yonex_All_England_Open,2023-03-15,England,XD,4,0,40,Japan,Hongkong,"Yuta Watanabe, Arisa Higashino",2.0,"Tang Chun Man, Tse Ying Suet",,21,17,21.0,17.0,,,42,34,2,0,4,0,8,6,17,2,1
1767,Petronas_Malaysia_Open,2023-01-12,Malaysia,WD,4,0,27,Korea,Usa,"Baek Ha Na, Lee Yu Lim",,"Srivedya Gurazada, Ishika Jaiswal",,21,2,21.0,6.0,,,42,8,2,0,2,0,12,1,1,0,1
1768,Petronas_Malaysia_Open,2023-01-10,Malaysia,WS,4,0,26,Chinesetaipei,India,Wen Chi Hsu,,Aakarshi Kashyap,,21,10,21.0,8.0,,,42,18,2,0,2,0,7,3,1,0,1
1769,Yonex_All_England_Open,2020-03-11,England,WD,4,0,30,Japan,Netherlands,"Mayu Matsumoto, Wakana Nagahara",2.0,"Selena Piek, Cheryl Seinen",,21,12,21.0,12.0,,,42,24,2,0,0,0,0,0,5,1,1
1770,Yonex_All_England_Open,2023-03-17,England,WD,6,0,93,Korea,Indonesia,"Baek Ha Na, Lee So Hee",,"Apriyani Rahayu, Siti Fadia Silva Ramadhanti",8.0,21,11,14.0,21.0,21.0,14.0,56,46,2,1,3,1,7,6,4,1,1
