,Tournament Name,Tournament Date,Tournament Country,Discipline,Number of Sets Played,Retired,Match Duration (min),Team One Nationalities,Team Two Nationalities,Player 1 Team 1 Name,Player 2 Team 1 Name,Team 1 Seed,Player 1 Team 2 Name,Player 2 Team 2 Name,Team 2 Seed,Points Set 1 Team 1,Points Set 1 Team 2,Points Set 2 Team 1,Points Set 2 Team 2,Points Set 3 Team 1,Points Set 3 Team 2,Total Points Team 1,Total Points Team 2,Sets Won Team 1,Sets Won Team 2,Total Game Points Team 1,Total Game Points Team 2,Most Consecutive Points Team 1,Most Consecutive Points Team 2,Team 1 Head to Head Analysis,Team 2 Head to Head Analysis,Match Winner
137,Victor_China_Open,2019-09-18,China,XD,4,0,35,Malaysia,Korea,Chan Peng Soon,Goh Liu Ying,5,Ko Sung Hyun,Eom Hye Won,0,21,16,21,10,0,0,42,26,2,0,3,0,5,3,1,2,1
138,Yonex_All_England_Open,2018-03-14,England,XD,4,0,28,Indonesia,Chinesetaipei,Praveen Jordan,Debby Susanto,4,Lee Yang,Hsu Ya Ching,0,21,12,21,19,0,0,42,31,2,0,5,0,6,4,1,0,1
139,Victor_China_Open,2019-09-20,China,XD,4,0,38,Korea,Japan,Seo Seung Jae,Chae Yu Jung,7,Yuta Watanabe,Arisa Higashino,3,21,17,21,13,0,0,42,30,2,0,4,0,4,3,4,7,1
140,Blibli_Indonesia_Open,2019-07-17,Indonesia,XD,2,1,5,China,Chinesetaipei,Wang Yi Lyu,Huang Dong Ping,2,Wang Chi-Lin,Cheng Chi Ya,0,11,4,0,0,0,0,11,4,1,0,0,0,4,2,2,1,1
141,Victor_China_Open,2019-09-17,China,XD,4,0,34,Germany,France,Marvin Seidel,Linda Efler,0,Thom Gicquel,Delphine Delrue,0,21,14,21,16,0,0,42,30,2,0,4,0,5,2,1,2,1
142,Yonex_All_England_Open,2018-03-14,England,XD,4,0,33,India,Germany,Pranaav Jerry Chopra,Reddy Sikki,0,Marvin Seidel,Linda Efler,0,21,19,21,13,0,0,42,32,2,0,3,0,6,4,3,1,1
143,Victor_China_Open,2019-09-17,China,XD,4,0,23,China,Canada,He Ji Ting,Du Yue,0,Joshua Hurlburt-Yu,Josephine Wu,0,21,11,21,10,0,0,42,21,2,0,3,0,6,3,1,0,1
144,Victor_China_Open,2019-09-21,China,XD,4,0,40,China,Thailand,Wang Yi Lyu,Huang Dong Ping,2,Dechapol Puavaranukroh,Sapsiree Taerattanachai,4,21,16,21,10,0,0,42,26,2,0,2,0,7,3,8,10,1
145,Victor_China_Open,2019-09-18,China,XD,4,0,35,China,Netherlands,Lu Kai,Chen Lu,0,Robin Tabeling,Selena Piek,0,21,16,21,18,0,0,42,34,2,0,5,0,6,5,1,0,1
146,Victor_China_Open,2019-09-19,China,XD,4,0,23,China,Germany,Zheng Si Wei,Huang Ya Qiong,1,Marvin Seidel,Linda Efler,0,21,9,21,10,0,0,42,19,2,0,3,0,4,3,2,0,1
147,Victor_China_Open,2019-09-21,China,XD,4,0,31,China,Korea,Zheng Si Wei,Huang Ya Qiong,1,Seo Seung Jae,Chae Yu Jung,7,21,14,21,15,0,0,42,29,2,0,8,0,5,6,16,3,1
148,Blibli_Indonesia_Open,2019-07-17,Indonesia,XD,6,0,62,Indonesia,Indonesia,Hafiz Faizal,Gloria Emanuelle Widjaja,6,Rinov Rivaldy,Pitha Haningtyas Mentari,0,22,24,22,20,21,15,65,59,2,1,8,2,7,4,3,0,1
149,Blibli_Indonesia_Open,2019-07-16,Indonesia,XD,4,0,29,China,China,Zheng Si Wei,Huang Ya Qiong,1,He Ji Ting,Du Yue,0,21,19,21,8,0,0,42,27,2,0,4,0,6,4,5,1,1
150,Victor_China_Open,2019-09-19,China,XD,6,0,54,Japan,India,Yuki Kaneko,Misaki Matsutomo,0,Satwiksairaj Rankireddy,Ashwini Ponnappa,0,21,11,16,21,21,12,58,44,2,1,3,1,6,6,2,0,1
151,Victor_China_Open,2019-09-22,China,XD,6,0,52,China,China,Zheng Si Wei,Huang Ya Qiong,1,Wang Yi Lyu,Huang Dong Ping,2,21,17,13,21,21,16,55,54,2,1,5,3,4,4,16,5,1
152,Blibli_Indonesia_Open,2019-07-16,Indonesia,XD,6,0,64,India,Netherlands,Pranaav Jerry Chopra,Reddy Sikki,0,Robin Tabeling,Selena Piek,0,25,23,16,21,21,19,62,63,2,1,5,6,6,5,1,1,1
153,Victor_China_Open,2019-09-18,China,XD,4,0,29,Korea,China,Seo Seung Jae,Chae Yu Jung,7,Ou Xuan Yi,Feng Xue Ying,0,21,14,21,12,0,0,42,26,2,0,5,0,9,3,1,0,1
154,Victor_China_Open,2019-09-17,China,XD,4,0,26,Japan,Ireland,Yuki Kaneko,Misaki Matsutomo,0,Sam Magee,Chloe Magee,0,21,9,21,7,0,0,42,16,2,0,4,0,9,2,2,0,1
